,name,website,logo,pitch_line,hq_location,size,industries,founded_date,legal_name,email,phone,descrption,facebook,linkedin,twitter,total_funding,transaction_name,last_announced_date,cb_url
21,Agrivida,agrivida.com/,"https://res-4.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/gb0lqfuybodpq68zqle6","Agrivida is an agricultural biotechnology company that creates renewable, biomass-based alternative fuels, and raw materials.","Cambridge, Massachusetts, United States",11-50,"Biofuel, Biomass Energy, Biotechnology",2002,"Agrivida, Inc.",agrivida@agrivida.com,(781) 391-1262,"Agrivida is an agricultural biotechnology company that creates renewable, biomass-based alternative fuels, and raw materials. It develops corn varieties that are optimized for producing ethanol from corn stover. Ethanol is a clean-burning, renewable fuel that can be used as a gasoline additive or a gasoline replacement.It was founded in 2002 andis based in Cambridge, Massachusetts.",,https://www.linkedin.com/company/agrivida-inc./,,$72.8M,,,https://www.crunchbase.com/organization/agrivida
22,Agrobot,agrobot.com/,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/po4filrph69ism4errys",Agrobot is engaged in the business of agricultural robots.,"La Palma Del Condado, Andalucia, Spain",1-10,"Agriculture, AgTech, Farming, Machinery Manufacturing",2009,,agrivida@agrivida.comPhone Number (781) 391-1262,,,,https://www.linkedin.com/company/agrobot/,,,,,https://www.crunchbase.com/organization/agrobot
23,AGRON Solutions,agronsolutions.com,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1506955287/jrtwnjqtinlun9ywhbah.jpg",AGRON offers accessible and efficient technology for the care of agricultural land.,"Mexico, Maine, United States",1-10,"Agriculture, AgTech, Farming, Women Founded, Women Led",Oct 2015,,gcom@agronsolutions.com,,"AGRON Solutions offers accessible and efficient technology for the care of agricultural land.AGRON offers technology for the care of agricultural land by means of a device capable of measuring the health of the soil through sensors and provide an immediate guide for its correct treatment. The objective is to avoid the accelerated loss of soilfertility through the constant analysis guided by the product. AGRON will allow farmers to know what elements they absorb from their soil in order to replace them in time, thus preserving the balance of nutrients necessary for sustainable production.",https://www.facebook.com/agronsolutions,https://www.linkedin.com/company/agron-solutions/,https://www.twitter.com/agron_solutions,,,,https://www.crunchbase.com/organization/agron-solutions
24,Aker Technologies,aker.ag/,"https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/r35l4tgfvwcuhahau6in",Aker is an agriculture data company providing crop intelligence and in-season analytics.,"St Louis, Missouri, United States",1-10,"Agriculture, AgTech, Analytics, Computer Vision, Enterprise Software, Hispanic / Latinx Founded, Hispanic / Latinx Led",Jan 2015,Aker Technologies Inc.,info@aker.ag,(507) 893-4545,"Aker Technologies develops smart in-season crop management tools to accelerate the adoption of precision farming practices across the industry. Aker has developed patented computer vision and biometric sensors, along with software and service solution to detect, classify and measure pests pressure, airborne pathogens, crop diseases and fertilityissues inside the canopy of crop fields.",https://www.facebook.com/akeragus,https://www.linkedin.com/company/10453313/,https://www.twitter.com/akeragus,$5.2M,"Venture Round, Seed Round, Seed Round, Convertible Note, Seed Round",2019-08-28 00:00:00,https://www.crunchbase.com/organization/aker-2
25,ApisProtect,www.apisprotect.com/,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/zriznpbknqvcl6fegikj",ApisProtect develops an agricultural technology designed for the management and care of bees.,"Cork, Cork, Ireland",1-10,"Agriculture, Big Data, Information Technology, Machine Learning, Productivity Tools, Sensor",2017,ApisProtect Limited,enquiries@apisprotect.com,,"ApisProtect develops an agricultural technology designed for the management and care of bees. The company uses an in-hive sensor network with long-range, cellular, and satellite-powered communication to monitor bee colonies and help beekeepers prevent losses and improve productivity. It combines the sensor data on hive conditions, health, andactivity levels with its proprietary big data and machine learning techniques.ApisProtect was founded on 2017 and is headquartered in Cork, Ireland.",https://www.facebook.com/ApisProtect/,https://www.linkedin.com/company/apisprotect/,https://twitter.com/ApisProtect,$1.8M,Seed Round,2018-11-20 00:00:00,https://www.crunchbase.com/organization/apisprotect
26,AppHarvest,appharvest.com,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/y0mu5vtlg9jzcldnohkc","AppHarvest is an ag-tech company that specializes in the fields of agriculture, farming, and technology.","Morehead, Kentucky, United States",51-100,"Agriculture, AgTech, Farming",Jan 2017,"AppHarvest, Inc",info@appharvest.com,,"AppHarvest is an ag-tech company that specializes in the fields of agriculture, farming, and technology. The company is currently combining conventional agriculture techniques with today’s technology to grow non-GMO, chemical-free produce.

AppHarvest was founded in 2017 and headquartered in Morehead, Kentucky.",https://www.facebook.com/AppHarvest/,https://www.linkedin.com/company/appharvest/,https://twitter.com/AppHarvest,$142.3M,"Series C, Series B, Venture Round, Series A, Act CapitalMar , Venture Round",2020-08-07 00:00:00,https://www.crunchbase.com/organization/appharvest
27,AQUAOSO,aquaoso.com/,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/lp2q9cw4b9hk6ba1rc1v",AQUAOSO is a public benefit corporation with a mission to build a water resilient future through advanced technologies.,"Folsom, California, United States",11-50,"Agriculture, Finance, Risk Management, Software, Water","Dec 14, 2016","AQUAOSO Technologies, PBC",,916-245-0560,"AQUAOSO, a SaaS company that provides water risk analytics, is helping financial institutions, investors and operators identify, understand, monitor and mitigate water-related risks in the modern agricultural economy.",https://www.facebook.com/AQUAOSO,https://www.linkedin.com/company/aquaoso,https://twitter.com/aquaosotech,$2.3M,"Funding Round, ca HaywoodJul , Pre Seed Round",2021-02-02 00:00:00,https://www.crunchbase.com/organization/aquaoso-technologies-pbc
28,aQysta,www.aqysta.com/,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/vcdkab2cqdwdttgcbc2w",aQysta engages in developing hydro-powered irrigation pumps that do not need any fuel or electricity to operate.,"Delft, Zuid-Holland, The Netherlands",11-50,"Agriculture, Energy, Environmental Engineering, Renewable Energy",2013,,info@aqysta.com,+31 (0) 6-23474757,"aQysta is a start-up company founded by three engineers from the Delft University of Technology, Netherlands. The three founders come from different parts of the world but share the same aspiration to create an impact in people’s lives through appropriately implemented technologies.To aQysta, sustainability is not just about being concerned withCO2, it is about bettering lives for people in a reliable way while providing a proper perspective for the future, not just for the developed world, but for everyone.aQysta envisions sustainable technologies to revolutionize agriculture and enhance food security in the world. We develop high-tech solutions and implement them in novel way for the underprivilieged people of the world.",https://www.facebook.com/aQysta/,https://www.linkedin.com/company/2596545/,https://twitter.com/aqysta,€1.8M,"Grant, Grant, Grant",2019-10-01 00:00:00,https://www.crunchbase.com/organization/aqysta
29,Augmenta,www.augmenta.se/index.html,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1397179132/2d6b1c5807639e6a7eba170fa798f80c.jpg",Augmenta invests in early stage betson.casino in companies with unique products and great growth potential.,"Delft, Zuid-Holland, The Netherlands",11-50,,,,info@augmenta.se,,"Augmenta will invest in early stages of companies with unique products and strong growth potential.When portfolio companies have a fully developed product or service that is ready for commercialization, will Augmenta to leave their interests in portfolio companies. Exactly when this will happen will vary and depend on each company's uniquesituation.",,,,,,,https://www.crunchbase.com/organization/augmenta
30,Autonomous Tractor Corporation,www.autonomoustractor.com,"https://res-4.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1479098603/hgdu0mvtbpiywxraztb8.png","Autonomous Tractor Corporation develops an electric drivetrain system designed to improve tilling, harvesting, and hauling services.","Fargo, North Dakota, United States",1-10,"Agriculture, Information Technology, Robotics","Jan 1, 2012",,,(203)993-0828,ATC's technology addresses one of the most pressing problems in agriculture today - a lack of qualified labor during peak season needs. The system installs on your existing tractor to make it truly autonomous without relying on GPS. It can be trained to do countless repetitive field tasks on its own so you have time to manage your farm andmaximize profits. And you can still drive it manually whenever you need to.ATC was founded by an entrepreneurial father/son team that has been passionate about farming and how technology can help make a better world for decades.,,https://www.linkedin.com/company/autonomous-tractor-corporation,,,,,https://www.crunchbase.com/organization/autonomous-tractor-corporation
31,Babban Gona,babbangona.com/,"https://res-4.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1487220924/srbdgeknr4xwc5allxcm.png","It delivers low-cost agriculture inputs, financial services and training to a franchise network of smallholder maize and rice farmers.","Lagos, Lagos, Nigeria",501-1000,"Agriculture, Farming, Financial Services, Training",2012,,lagos@doreopartners.com,,"Babban Gona inspires and enables hardworking smallholder farmers reach their full potential by providing a private sector channel for cost effective delivery of enhanced agricultural technologies and end-to-end services that optimize yields and labor productivity, while simultaneously improving market access.",https://www.facebook.com/pg/OfficialBabbanGona/about/?ref=page_internal,https://www.linkedin.com/company/babban-gona/,https://twitter.com/babbangona,$24M,"Debt Financing, Venture Round",2017-07-18 00:00:00,https://www.crunchbase.com/organization/babban-gona
32,Bear Flag Robotics,bearflagrobotics.com,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/w1uwhccyyvxccynwhb7g",Bear Flag Robotics is an ag-tech company developing autonomous technology for farm tractors to increase productivity and improve safety.,"Newark, California, United States",11-50,"Agriculture, AgTech, Industrial Automation, Predictive Analytics, Robotics, Women Founded",2017,"Bear Flag Robotics, Inc.",contact@bearflagrobotics.com,,"Bear Flag Robotics is an ag-tech company developing autonomous technology for farm tractors to increase productivity and improve safety.The solution gathers data on field patterns to provide predictive analytics that helps growers better plan each season. It can be controlled and commanded from a central mission control who gets real-timeinformation about everything happening on a tractor that enables farmers to reduce input and increase production yield easily.Co-Founders Igino Cafiero and Aubrey Donnellan founded the company in 2017 in Newark, California.",https://www.facebook.com/Bearflagrobotics,https://www.linkedin.com/company/bear-flag-robotics,https://twitter.com/BFRobotics,$11.4M,"Seed Round, Seed Round, Seed Round, Seed Round",2021-01-21 00:00:00,https://www.crunchbase.com/organization/bear-flag-robotics
33,BeeHero,www.beehero.io/,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/jdnhrl1g2vefcbwgf3ht",BeeHero is a developer of beehive technology platform intended to maximize crop yields through pollination.,"Fresno, California, United States",11-50,"Agriculture, AgTech, Farming, Internet of Things, Machine Learning, Predictive Analytics, Social Impact, Software, Women Founded",2017,"BeeHero, Inc.",hello@beehero.io,855-423-3437,"BeeHero is a developer of beehive technology platform intended to maximize crop yields through pollination. The company's technology uses artificial intelligence with low-cost sensors to collect in-hive data and to stimulate full output potential during peak pollination cycles, enabling farmers to protect beehives from colony collapse andmaximize pollination efficiency for growers around the world.",http://www.facebook.com/beeheropollination,https://www.linkedin.com/company/beehero/,https://twitter.com/beehero_io,$5M,"Seed Round, Seed Round, Pre Seed Round",2020-05-28 00:00:00,https://www.crunchbase.com/organization/beehero
34,Beta Hatch,betahatch.com/,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/gdqkbrsmk277i87krnzc",A company industrializing the production of insects as a sustainable protein for animal feed.,"Cashmere, Washington, United States",11-50,"Agriculture, Animal Feed, Farming, Women Founded, Women Led",2015,Beta Hatch Inc.,aimee@betahatch.com,,Beta Hatch grows insect protein for animal feed. Nutrient balanced fertilizer is a sterile by-product of their process. Beta Hatch knows bugs better than anyone- they use their expertise in entomology to grow the most efficient and nutritious insects. They are currently farming mealworms from their urban farm in Seattle. They believe in changingfood systems. Their goal is to develop the technology and knowledge that will make insects the next commodity crop.,,https://www.linkedin.com/company/betahatch/,,$30.5M,"Series A, a MemphisMay , Series A, a MemphisMay",2020-12-09 00:00:00,https://www.crunchbase.com/organization/beta-hatch
35,BioLumic,www.biolumic.com,"https://res-4.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/bnw9hre6gt9wipwp8bai","BioLumic unlocks the natural genetic potential of seeds and seedlings with specialized light treatments, data science, and technology.","Palmerston North, Wellington, New Zealand",11-50,"Agriculture, AgTech, Biotechnology, Cannabis, Sustainability",2013,,steve@biolumic.com,,"BioLumic develops light signals that activate plant growth and unlock the natural genetic potential of crops. The company's photogenics platform leverages innovation in plant science, light technology and genetic insights.  Demonstrated results include higher yield, improved vigor, increased disease and pest resistance, and improvements incrops composition.  These results have been across a variety of seeds and seedling: soybean, cannabis and vegetable and fruit crops. It is a clean technology that does not require the use of chemicals or amendments.  BioLumic is a private company and was founded in 2013.",,https://www.linkedin.com/company/biolumic-limited/,https://twitter.com/biolumic,$14.6M,"Series A, Series A, tere VenturesMar, Series A, le GrowthJun, Venture Round, Seed Round",2020-05-20 00:00:00,https://www.crunchbase.com/organization/biolumic
36,Bowery Farming,boweryfarming.com/,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/xun88lgucapm6x34v8zk","Bowery Farming uses vision systems, automation technology, and machine learning to monitor plants and their growth.","New York, New York, United States",101-250,"Agriculture, Farming, Food and Beverage, Machine Learning, Organic Food, Robotics",2014,"Bowery, Inc.",contact@boweryfarming.com,646-493-1322,"Bowery is the modern farming company growing the purest produce imaginable. We are on a mission to grow food for a better future by revolutionizing agriculture. By combining the benefits of the best local farms with advances made possible by technology, our indoor farms create the ideal conditions to grow post-organic produce you can feel goodabout eating. BoweryOS, our proprietary software system, uses vision systems, automation technology, and machine learning to monitor plants and all the variables that drive their growth 24/7. Because we control the entire process from seed to store, Bowery farms use zero pesticides, 95% less water, and are 100+ times more productive on the same footprint of land than traditional agriculture. Our produce is currently available at select Whole Foods and Foragers stores in the Tristate area and featured on the menus of Tom Colicchio’s New York restaurants Craft and Fowler & Wells.Bowery is based in New York City and has raised $27.5M from some of the best investors in the world, including General Catalyst, GGV Capital, GV (formerly Google Ventures) and First Round Capital. We are also backed by established leaders and innovators in the food industry, including Top Chef judge and restaurateur Tom Colicchio.",https://www.facebook.com/boweryfarming/,https://www.linkedin.com/company/bowery-farming/,https://twitter.com/BoweryFarming,$167.5M,"Series B, Series B,  , Series A",2019-11-06 00:00:00,https://www.crunchbase.com/organization/bowery-farming-inc
37,C16 Biosciences,www.c16bio.com/,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/khjohvyzphwkum445qid","C16 Biosciences produces clean, safe alternatives to palm oil.","New York, New York, United States",11-50,"Biotechnology, Innovation Management, Organic, Sustainability, Women Founded, Women Led",2018,"C16 Biosciences, Inc.",contact@boweryfarming.comPhone Number 646-493-1322,,"C16 Biosciences is a biotechnology firm that uses microbiology to brew sustainable alternatives to palm oil.It was founded in 2017 with the objective of creating a sustainable, environmentally friendly alternative to conflict palm oil. By offering producers, refiners, traders, and consumers of palm oil an opportunity to invest part of theirproduction into bio-based oils and sustainability efforts, C16 Biosciences' aim is to reduce the environmental footprint of palm oil production and protect precious natural land, wildlife, and resources in the process.Fermentation is a well-proven commercial process that has been used for centuries to convert raw materials into consumable commercial products consumed by billions of people every day. C16 Biosciences believes that brewing palm oil like beer is the most likely path to developing a truly sustainable palm oil alternative.C16 Biosciences' palm oil is sustainable which doesn't involve deforestation, endangering precious animal species, or forcing inhumane labor practices. The result is a world where consumers can enjoy the products they love without worrying about the dangerous practices involved in making them.",,https://www.linkedin.com/company/c16bio/,https://twitter.com/c16bio,$24M,"Series A, Seed Round, Seed Round",2020-03-02 00:00:00,https://www.crunchbase.com/organization/c16-biosciences
38,CharGrow,char-grow.com,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/otc5l9efrbabg6d8fu9a",CharGrow manufactures and sells organic plant probiotics and biochar soil amendments that help growers to cut cost.,"Asheville, North Carolina, United States",1-10,"Agriculture, Health Care, Manufacturing, Medical","Aug 14, 2018",CharGrow USA LLC,info@char-grow.com,8283487992,"CharGrow offers probiotic formulations and biochar products that allow growers to cut costs, move away from harmful chemicals and permanently build the fertility of their soil. Its brand products are synergistic charcoal blends that are specially designed to build the health of the plants and the vitality of the soil. The company was founded in2018 and is headquartered in Asheville, North Carolina.",https://www.facebook.com/chargrow.llc/,https://www.linkedin.com/company/chargrow/,https://twitter.com/CharGrow_,,,,https://www.crunchbase.com/organization/chargrow-usa-llc
39,CropLogic,www.croplogic.com/,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1483541887/btti8y1bemqzywlhyfqx.png",CropLogic is a unique system that uses advanced scientific plant growth models to forecast the future effects.,"Lincoln, Auckland, New Zealand",101-250,"Agriculture, CleanTech, Farming",2010,,matthew.journee@croplogic.com,+64221606433,CropLogic is committed to keep developing the most accurate crop models that look ever further into the future. This ensures growers can be confident they are getting the absolute optimum yield possible for the least inputs possible.,,,,$8.8M,"Pos, Venture Round, Equity Crowdfunding, Venture Round",2019-06-07 00:00:00,https://www.crunchbase.com/organization/croplogic
40,CropMetrics,cropmetrics.com/,"https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1447847366/i6iowl4bcrdyahhdzzjd.png",CropMetrics provides advanced solutions to growers and specializes in precision irrigation management.,"North Bend, Nebraska, United States",1-10,"CropX, Agriculture, Farming, Natural Resources, CropMetrics acquired by CropX, CropX",2009,CropMetrics LLC.,info@cropmetrics.com,(402)512-1850,"CropMetrics is a precision agriculture company focused on advanced agronomic solutions while specializing in precision irrigation management. Our mission is to develop and supply precision management technology solutions that increase water, nutrient and energy use efficiency while fostering natural resource conservation.",https://www.facebook.com/CropMetrics/,https://www.linkedin.com/company/cropmetrics,https://twitter.com/cropmetrics,$1.7M,"Convertible Note, Debt Financing, Venture Round",2019-12-31 00:00:00,https://www.crunchbase.com/organization/cropmetrics
41,Croptimal,www.croptimal.com,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/pxboemnz7bjogbskzmvz","Croptimal is offering a unique service for performing real-time and accurate tests of crops, soil and water in the field.","Migdal, HaZafon, Israel",1-10,Biotechnology,"Jan 1, 2017",,,972-4-9891313,"Croptimal is a unique service for performing real-time and accurate tests of plant tissue, soil and water in the field.

This novel and innovative technological solution reduces time-to-analysis from 10 days to 10 minutes, dramatically changing the prevailing agricultural testing methodology.",https://www.facebook.com/croptimal/,https://www.linkedin.com/company/18036388/,https://twitter.com/croptimalltd,,,,https://www.crunchbase.com/organization/croptimal
42,CropX,www.cropx.com/,"https://res-1.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1489059026/gozojbna3yrtbtusglhd.png","CropX an ag-analytics company, develops cloud based software solutions integrated with wireless sensors, which boosts crops yield.","Netanya, HaMerkaz, Israel",11-50,"Agriculture, Analytics, Farming, Robotics",Aug 2013,CropX Inc. CropX Technologies Ltd.,info@cropx.com,1(650) 618-8169,"CropX Ltd., an ag-analytics company, develops cloud based software solutions integrated with wireless sensors, which boosts crops yield and saves water and energy. It offers advanced adaptive irrigation software service that delivers crop yield increase, and water and energy cost saving services while conserving the environment. The company alsogenerates irrigation maps and automatically applies the right amount of water to different parts of the same field. It serves farmers worldwide. CropX Ltd. was founded in 2013 and is headquartered in Tel Aviv, Israel with an additional office in San Francisco, California.CropX’s proprietary science helps farmers better understand water usage across their fields. Its low-cost soil sensors can increase crop yields while simultaneously cutting water usage by one third. In just one irrigation season, CropX sensors were installed on thousands of acres of all major row crops and demonstrated immense value, with early customers across the United States reporting dramatic water, manpower and cost savings, as well as massive crop yield gains. During the current growing season, CropX technology will be rolled out across hundreds of thousands of acres.",https://www.facebook.com/cropxapp/,https://www.linkedin.com/company/cropx-ltd,https://twitter.com/crop_x,$24.3M,"Series B, Series B, Venture Round, Venture Round, Convertible Note, Series A, Debt Financing, Series A, Seed Round, Angel Round",2019-08-21 00:00:00,https://www.crunchbase.com/organization/cropx
43,CybeleTech,www.cybeletech.com/,"https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/yq8genjcroqfy6pqr5oz","CybeleTech develops tools for simulation, data mining, yield prediction, breeding, crop management, or optimization for specific needs.","Montrouge, Ile-de-France, France",11-50,"Agriculture, Information Technology, Software",2011,,contact@cybeletech.com,+33 (0)1 46 74 04 80,"CybeleTech's innovative digital technologies and services brings to seed groups, cooperative groups, producing and processing industries an added value that spreads all across the agriculture value chain, bringing ultimately benefits to farmers.",,https://www.linkedin.com/company/cybeletech/,,,,,https://www.crunchbase.com/organization/cybeletech
44,Cycle Farms,www.cyclefarms.com,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/zhdffe4njxesjnxgndbh",Cycle Farms develops and operates vertically integrated feed mills.,"Massy, Ile-de-France, France",11-50,"Agriculture, Farming",2015,,contact@cyclefarms.com,,"Cycle Farms develops and operates vertically integrated feed mill. By producing insect proteins from biowaste, they produce the best pellets for feed.",https://www.facebook.com/pg/CycleFarms1,https://www.linkedin.com/company/cycle-farms/,https://twitter.com/cycle_farms,,,,https://www.crunchbase.com/organization/cycle-farms
45,Dropcopter,dropcopter.com/,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/klwrez1g6lqojx7j7ujc",Dropcopter automates pollination of orchard crops via unmanned aircraft systems (UAS).,"New York, New York, United States",11-50,"AgTech, Farming",2013,,,(415) 347-1917,"Dropcopter automates pollination of orchard crops via unmanned aircraft systems (UAS). They help growers improve farming efficiency and drive healthy crop yield growth.

In early 2015, Dropcopter completed its patent-pending prototype, and conducted the first-ever UAS pollination of orchard crops, boosting crop set by 10%.",https://www.facebook.com/people/Drop-Copter/100010711091290,https://www.linkedin.com/company/dropcopter/,https://twitter.com/Dropcopter,$750K,"Grant, Pre Seed Round",2019-11-14 00:00:00,https://www.crunchbase.com/organization/dropcopter
46,Dynium Robot,www.dyniumrobot.com/,"https://res-3.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/bofj27gk9zipkhnmlzu7","Dynium Robot is a computer software company that specializes in the fields of information technology, hardware, and artificial intelligence.","Oxford, Oxfordshire, United Kingdom",11-50,"Agriculture, Artificial Intelligence, Hardware, Information Technology, Software",2017,,team@dyniumrobot.com,,"Dynium Robot is a computer software company that specializes in the fields of information technology, hardware, and artificial intelligence. It uses computer vision such as  LiDAR and AI technologies to develop smart tractors.

The company was founded in 2017 and headquartered in Oxfordshire, United Kingdom.",,https://www.linkedin.com/company/dynium-robot/,https://twitter.com/dyniumrobot?lang=en,,,,https://www.crunchbase.com/organization/dynium-robot
47,eAgronom,eagronom.com,"https://res-2.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/jm2jkw7aaa4vqnppceby",Accelerating transition to sustainable farming via carbon credits and AI Consulting,"Tartu, Tartumaa, Estonia",11-50,"Agriculture, AgTech, CleanTech, Farming, GreenTech, Software, Sustainability",Oct 2016,E-AGRONOM OÜ,robin@eagronom.com,0037253734335,"“We believe that real change will only happen if economical interests support ecological interests. Climate is warming, soils are weakening and species richness is declining /../ We believe that creating the synergy between economic and society’s interests will accelerate the adoption of regenerative practices rapidly. This is why weexist.“ - Robin Saluoks, Founder of eAgronomeAgronom ambition is to become the most trusted agricultural carbon credit provider in Europe. We have 1,500 paying farmers on our farm monitoring and AI consulting platform, allowing eAgronom to guide farmers toward carbon-capturing practices and provide transparency for carbon credit buyers. Raising Series A in spring 2021. Set up the meeting with the founder here - https://calendly.com/soilevolution/45min-call",https://www.facebook.com/eagronom/,https://www.linkedin.com/company/16229581/,https://twitter.com/eAgronom_com,€4.5M,"Seed Round, Seed Round",2020-09-30 00:00:00,https://www.crunchbase.com/organization/eagronom
48,EarthSense,www.earthsense.co.uk/,"https://res-4.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/pqsnykqzpe74i0pisfer","EarthSense provide expert environmental monitoring & modelling of air pollution data, delivering products & services.","Leicester, Leicester, United Kingdom",11-50,Environmental Engineering,2002,EarthSense Systems Ltd.,info@earthsense.co.uk,0116 296 7460,"EarthSense is a dynamic company designed to meet the needs of the growing air quality monitoring market.EarthSense  provide expert environmental monitoring & modelling of air pollution data, delivering products & services that enable the world to better understand & solve air quality issues.EarthSense enable policy makers, plannersand those responsible for delivering results access to data in a way that enables them to create scenarios which can lead to truly deliverable solutions on the ground.",,https://uk.linkedin.com/company/earthsense-aq,https://twitter.com/earthsenseAQ,£100K,Debt Financing,2019-10-04 00:00:00,https://www.crunchbase.com/organization/earthsense-4bd0
49,ecoRobotix,www.ecorobotix.com/,"https://res-5.cloudinary.com/crunchbase-production/image/upload/c_lpad,h_170,w_170,f_auto,b_white,q_auto:eco/v1487069856/o0se1c7j6snrlmgntxmx.png",ecoRobotix develops revolutionary autonomous robots allowing to reduce negative impact of modern agriculture on the environment,"Yverdon-les-bains, Vaud, Switzerland",51-100,"Agriculture, AgTech, Artificial Intelligence, Farming, Robotics","Jan 1, 2014",ecoRobotix Ltd,info@ecorobotix.com,+41245244123,"ecoRobotix contributes to an agriculture that respects the environment, focusing on soil and hydrological resources conservation and using a minimum amount of energy. 
ecoRobotix aims to offer precise, safe, reliable and affordable robotic solutions that simplify farmers’ life to produce healthy food. In particular, its revolutionary solar-poweredweeding robot offers a more sustainable use of herbicides while reducing farmers costs.",http://www.facebook.com/ecorobotix,https://www.linkedin.com/company/ecorobotix,http://twitter.com/ecorobotix,CHF21.9M,"Series C, Series A, roNov , Seed Round",2020-12-15 00:00:00,https://www.crunchbase.com/organization/ecorobotix
